Timestamp,Transaction ID,Sender Account,Total Sent Amount,Receiver Account,Receiver Amount,Token Symbol,Memo,Fee (HBAR)
2024-12-12T01:26:12.000Z,0.0.4713148-1733966757-956646037,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.3694 HSUITE,0.00747321
2024-12-12T01:25:42.000Z,0.0.1008120-1733966728-864851993,0.0.1008120,5850,0.0.7835661,5850,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.4749 HSUITE,0.00747321
2024-12-12T01:25:26.000Z,0.0.4713148-1733966713-204203491,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.5814 HSUITE,0.00747321
2024-12-12T01:23:25.000Z,0.0.4713148-1733966588-194048237,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.7118 HSUITE,0.00747321
2024-12-12T01:22:51.000Z,0.0.4713148-1733966554-496334907,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.8437 HSUITE,0.00747321
2024-12-12T01:22:40.000Z,0.0.4713148-1733966544-236282209,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.9770 HSUITE,0.00747321
2024-12-12T01:22:31.000Z,0.0.1008120-1733966537-176059562,0.0.1008120,5700,0.0.7835661,5700,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.0870 HSUITE,0.00747321
2024-12-12T01:20:16.000Z,0.0.4713148-1733966396-587506103,0.0.4713148,5000,0.0.7835661,5000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.1677 HSUITE,0.00747321
2024-12-12T01:19:11.000Z,0.0.4713148-1733966337-515663736,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.2741 HSUITE,0.00769593
2024-12-12T01:18:35.000Z,0.0.4713148-1733966299-459795978,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.4123 HSUITE,0.00747321
2024-12-12T01:18:21.000Z,0.0.4713148-1733966283-875391430,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.5521 HSUITE,0.00747321
2024-12-12T01:01:19.000Z,0.0.4713148-1733965264-573520242,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.6935 HSUITE,0.00747321
2024-12-12T00:56:19.000Z,0.0.4713148-1733964960-683381536,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.8365 HSUITE,0.0074095
2024-12-12T00:54:04.000Z,0.0.4713148-1733964827-492064675,0.0.4713148,9000.97838,0.0.7835661,9000.97838,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.9805 HSUITE,0.0074095
2024-12-12T00:53:19.000Z,0.0.4713148-1733964778-545667820,0.0.4713148,9000.97838,0.0.7835661,9000.97838,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 19.1269 HSUITE,0.0074095
2024-12-12T00:53:02.000Z,0.0.4713148-1733964764-191484528,0.0.4713148,9000.97838,0.0.7835661,9000.97838,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 19.2749 HSUITE,0.0074095
2024-12-11T23:54:30.000Z,0.0.1057057-1733961254-057916686,0.0.1057057,7213.349561,0.0.7835661,7213.349561,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.5457 HSUITE,0.00771458
2024-12-11T23:54:07.000Z,0.0.4713148-1733961229-698266977,0.0.4713148,9000.97838,0.0.7835661,9000.97838,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.6730 HSUITE,0.00749132
2024-12-11T22:48:06.000Z,0.0.4713148-1733957269-567840478,0.0.4713148,9636.97838,0.0.7835661,9636.97838,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.8209 HSUITE,0.00756624
2024-12-11T22:47:49.000Z,0.0.4713148-1733957252-406761049,0.0.4713148,9636.97838,0.0.7835661,9636.97838,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.9757 HSUITE,0.00756624
2024-12-11T22:47:31.000Z,0.0.4713148-1733957236-520476069,0.0.4713148,4817,0.0.7835661,4817,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 19.0930 HSUITE,0.00756624
2024-12-11T22:36:04.000Z,0.0.7756142-1733956552-610651205,0.0.7756142,12172.741878,0.0.7835661,12172.741878,KBL,[KABILA] HSUITE DEX - Swap KBL to SAUCE - 1 KBL = 0.2589 SAUCE,0.01060949
2024-12-11T22:03:07.000Z,0.0.1184477-1733954566-869801848,0.0.1184477,15000,0.0.7835661,15000,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0956 HBAR,0.00757159
2024-12-11T21:03:17.000Z,0.0.781339-1733950972-232291250,0.0.781339,12000,0.0.7835661,12000,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0967 HBAR,0.00751195
2024-12-11T20:52:05.000Z,0.0.4623198-1733950310-009831051,0.0.4623198,3000,0.0.7835661,3000,KBL,[KABILA] HSUITE DEX - Swap KBL to USDC - 1 KBL = 0.0287 USDC,0.01057056
2024-12-11T20:40:48.000Z,0.0.7746380-1733949635-319241961,0.0.7746380,7500,0.0.7835661,7500,KBL,[KABILA] HSUITE DEX - Swap KBL to SAUCE - 1 KBL = 0.2450 SAUCE,0.01057075
2024-12-11T20:40:03.000Z,0.0.4713148-1733949586-329579040,0.0.4713148,5000,0.0.7835661,5000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.6641 HSUITE,0.0075386
2024-12-11T20:27:47.000Z,0.0.4713148-1733948850-201032216,0.0.4713148,9600,0.0.7835661,9600,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.7064 HSUITE,0.0075386
2024-12-11T20:21:57.000Z,0.0.454863-1733948501-574501135,0.0.454863,25948.028859,0.0.7835661,25948.028859,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0956 HBAR,0.00754394
2024-12-11T20:19:38.000Z,0.0.639830-1733948363-255643129,0.0.639830,15000,0.0.7835661,15000,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0956 HBAR,0.00754394
2024-12-11T20:17:27.000Z,0.0.4212644-1733948231-908870316,0.0.4212644,15000,0.0.7835661,15000,KBL,[KABILA] HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0964 HBAR,0.00777231
2024-12-11T20:10:40.000Z,0.0.4339824-1733947827-115723216,0.0.4339824,25437.321568,0.0.7835661,25437.321568,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0961 HBAR,0.0077686
2024-12-11T20:03:43.000Z,0.0.542474-1733947409-026549428,0.0.542474,21270.974507,0.0.7835661,21270.974507,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0975 HBAR,0.00754394
2024-12-11T20:03:19.000Z,0.0.4318047-1733947384-426080195,0.0.4318047,5000,0.0.7835661,5000,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0986 HBAR,0.0077686
2024-12-11T20:03:14.000Z,0.0.683607-1733947371-884670763,0.0.683607,10000,0.0.7835661,10000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 19.0025 HSUITE,0.00776326
2024-12-11T20:03:10.000Z,0.0.4713148-1733947371-309616007,0.0.4713148,5000,0.0.7835661,5000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 19.1246 HSUITE,0.00776326
2024-12-11T20:03:00.000Z,0.0.542474-1733947368-858005918,0.0.542474,21471.125014,0.0.7835661,21471.125014,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.1011 HBAR,0.00754394
2024-12-11T20:02:47.000Z,0.0.749646-1733947353-759175180,0.0.749646,60000,0.0.7835661,60000,KBL,[KABILA] HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.1049 HBAR,0.00754765
2024-12-11T20:02:27.000Z,0.0.4713148-1733947328-597120496,0.0.4713148,8045.988622,0.0.7835661,8045.988622,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 20.6501 HSUITE,0.0075386
2024-12-11T20:02:12.000Z,0.0.4713148-1733947315-604050596,0.0.4713148,8045.988622,0.0.7835661,8045.988622,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 21.2039 HSUITE,0.0075386
2024-12-11T20:02:12.000Z,0.0.542474-1733947318-743303699,0.0.542474,21525.997919,0.0.7835661,21525.997919,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.1095 HBAR,0.00754394
2024-12-11T20:01:47.000Z,0.0.4318047-1733947290-956617474,0.0.4318047,1000,0.0.7835661,1000,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.1115 HBAR,0.00754394
2024-12-11T19:53:49.000Z,0.0.4367595-1733946808-576125250,0.0.4367595,572,0.0.7835661,572,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0880 HBAR,0.00750687
2024-12-11T19:52:34.000Z,0.0.4318047-1733946737-006619814,0.0.4318047,10000,0.0.7835661,10000,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0884 HBAR,0.00773043
2024-12-11T19:51:06.000Z,0.0.542474-1733946651-576933843,0.0.542474,22977.177481,0.0.7835661,22977.177481,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0896 HBAR,0.00750687
2024-12-11T19:50:56.000Z,0.0.3924395-1733946641-570410891,0.0.3924395,10927.141737,0.0.7835661,10927.141737,KBL,[KABILA] HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0910 HBAR,0.00773412
2024-12-11T19:50:56.000Z,0.0.4713148-1733946638-831551381,0.0.4713148,7500,0.0.7835661,7500,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.4883 HSUITE,0.00772513
